PERMITTED_VALUE	DESCRIPTION	DEFINITION
Myelodysplastic Syndrome, Not Otherwise Specified with Multilineage Dysplasia	None	A myelodysplastic syndrome characterized by bi-cytopenia or pancytopenia and dysplastic changes in 10% or more of the cells in two or more of the myeloid cell lines.  A minority of cases progress to acute myeloid leukemia.  (WHO, 2001) -- 2003
Myelodysplastic Syndrome	None	A clonal hematopoietic disorder characterized by dysplasia and ineffective hematopoiesis in one or more of the hematopoietic cell lines. The dysplasia may be accompanied by an increase in myeloblasts, but the number is less than 20%, which, according to the WHO guidelines, is the requisite threshold for the diagnosis of acute myeloid leukemia. It may occur de novo or as a result of exposure to alkylating agents and/or radiotherapy. (WHO, 2001)
Myeloid Leukemia	None	A clonal proliferation of myeloid cells and their precursors in the bone marrow, peripheral blood, and spleen. When the proliferating cells are immature myeloid cells and myeloblasts, it is called acute myeloid leukemia. When the proliferating myeloid cells are neutrophils, it is called chronic myelogenous leukemia.
Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement	None	Hematologic neoplasms characterized by the rearrangement of the FGFR1 gene, resulting in translocations with an 8p11 breakpoint. Patients present with a myeloproliferative neoplasm, acute myeloid leukemia, lymphoblastic lymphoma/leukemia of T or B-cell lineage, or acute leukemia of mixed phenotype.
Myeloid/Lymphoid Neoplasms with PDGFRA Rearrangement	None	Hematologic neoplasms characterized by the rearrangement of the PDGFRA gene, most often resulting in the formation of FIP1L1-PDGFRA fusion transcripts. Patients usually present with chronic eosinophilic leukemia, and less often with acute myeloid leukemia or T-lymphoblastic leukemia.
Myeloproliferative Neoplasm	None	A clonal hematopoietic stem cell disorder, characterized by proliferation in the bone marrow of one or more of the myeloid (i.e., granulocytic, erythroid, megakaryocytic, and mast cell) lineages. It is primarily a neoplasm of adults. (WHO 2008)
Myofibroblastoma	None	A benign, well circumscribed soft tissue neoplasm characterized by the presence of spindle shaped myofibroblasts and mast cells in a collagenous stroma.
Myofibroma	None	A benign localized neoplasm arising from the subcutaneous tissues and skeletal muscle. It is characterized by the presence of myofibroblastic hyperchromatic spindle cells, hylanized stroma formation, calcification, necrosis, and a multinodular growth pattern.
Myxoid Leiomyoma	None	A leiomyoma characterized by the presence of abundant myxoid matrix.
Myxoid Liposarcoma	None	A liposarcoma characterized by the presence of round non-lipogenic mesenchymal cells and small signet ring lipoblasts within a myxoid stoma with a vascular-branching pattern, or the presence of solid sheets of primitive round cells without myxoid stroma. The tumor is usually well-circumscribed. The majority of cases arise from within the thigh muscles.
Myxoma	None	A benign soft tissue neoplasm characterized by the presence of spindle and stellate cells, lobulated growth pattern, and myxoid stroma formation.
Myxosarcoma	None	An infiltrating malignant soft tissue neoplasm characterized by the presence of immature undifferentiated cells and abundant myxoid stroma formation.
Nasopharyngeal-Type Undifferentiated Carcinoma	None	A nonkeratinizing carcinoma which occurs predominantly in the nasopharynx but also in the tonsils and rarely in other anatomic sites.  It is characterized by the presence of large malignant cells with vesicular nuclei, prominent nucleoli, syncytial growth pattern, and a lymphoplasmacytic infiltrate.
Neoplastic Cell	None	Cells of, or derived from, a tumor.
Nerve Sheath Neoplasm	None	A benign or malignant neoplasm arising from the perineural cells in the sheaths surrounding the nerves. Representative examples include neurofibroma, schwannoma, and malignant peripheral nerve sheath tumor.
Neuroendocrine Carcinoma	None	A malignant neuroendocrine neoplasm composed of cells containing secretory granules that stain positive for NSE and chromogranin.  The neoplastic cells are often round and form clusters or trabecular sheets.  Representative examples are small cell carcinoma, large cell neuroendocrine carcinoma, and Merkel cell carcinoma.
Neurofibroma	None	An intraneural or extraneural neoplasm arising from nerve tissues and neural sheaths. It is composed of perineurial-like fibroblasts and Schwann cells. It usually presents as a localized cutaneous lesion and less often as a circumscribed peripheral nerve mass. Patients with neurofibromatosis type 1 present with multiple masses. Neurofibromas which arise from major nerves and plexiform neurofibromas are precursor lesions to malignant peripheral nerve sheath tumors.
Neuronevus	None	An intradermal nevus characterized by the presence of nests of atrophic nevus cells which are hyalinized and resemble nerve bundles.
Nipple Adenoma	None	A benign epithelial neoplasm arising from the nipple. Signs and symptoms include serous or sanguineous nipple discharge and nipple erosion. It is characterized by the presence of aggregates of small tubules replacing the nipple stroma. The tubules are lined by epithelial and myoepithelial cells.
Nodular Lymphocyte Predominant Hodgkin Lymphoma	None	A monoclonal B-cell neoplasm characterized by a nodular, or a nodular and diffuse, polymorphous proliferation of scattered large neoplastic cells known as popcorn or L&H cells; the L&H cells are CD15 negative, and rarely positive for CD30 antigen.  Patients are predominantly male, frequently in the 30-50 year age group.  Most patients present with limited stage disease (localized peripheral lymphadenopathy, stage I or II); the prognosis of patients with stage I and stage II disease is very good.  Advanced stages have an unfavorable prognosis.
Nodular Sclerosis Classic Hodgkin Lymphoma	None	A subtype of classical Hodgkin lymphoma characterized by collagen bands that surround at least one nodule, and Hodgkin and Reed-Sternberg cells with lacunar type morphology. (WHO, 2008)
Non-Hodgkin Lymphoma	None	Distinct from Hodgkin's lymphoma both morphologically and biologically, NHL lymphoma is characterized by the absence of Reed-Sternberg cells, can occur at any age, and usually presents as a localized or generalized lymphadenopathy associated with fever and weight loss.  The clinical course varies according to the morphologic type.  NHL is clinically classified as indolent, aggressive, or having a variable clinical course.  NHL can be of B-or T-/NK-cell lineage. --2003
Non-Invasive Papillary Squamous Cell Carcinoma	None	A well differentiated squamous cell carcinoma characterized by a papillary, exophytic growth pattern, hyperkeratosis, and absence of invasion of adjacent tissues.
Non-Keratinizing Large Cell Squamous Cell Carcinoma	None	A squamous cell carcinoma composed of large atypical cells, without morphologic evidence of keratin production.
Non-Small Cell Carcinoma	None	A malignant epithelial neoplasm characterized by the absence of neoplastic small epithelial cells. A representative example is the lung non-small cell carcinoma.
Nonpigmented Nevus	None	A benign nevus characterized by the absence of melanin pigment in the melanocytes.
Odontoameloblastoma	None	A rare, locally aggressive neoplasm arising from tooth-forming tissues. It occurs in the mandible and maxilla. It is characterized by the presence of odontogenic epithelium and adjacent myxoid tissue, fibrous stroma, and mineralized dental tissues.
Odontogenic Fibroma	None	A rare, benign, intraosseous neoplasm arising from tooth-forming tissues in the mandible and maxilla. It is characterized by the presence of odontogenic epithelium which is embedded in a fibrous stroma. Local enucleation of the tumor is curative.
Odontogenic Neoplasm	None	A benign or malignant neoplasm arising from tooth-forming tissues. It occurs in the maxillofacial skeleton or the gingiva. Benign tumors are slow growing and are not associated with specific clinical symptoms. Pain is absent or slight. Malignant tumors are usually associated with rapid swelling and pain.
Olfactory Neuroblastoma	None	Olfactory Neuroblastomas are rare neuroectodermal tumors. They are assumed to originate from olfactory receptor cells high in the nasal cavity. Unless resected at an early stage, they carry a poor prognosis. Microscopically, their typical pattern is neuroblastic with occasional formation of rosettes, but some lesions show neuroendocrine differentiation. When this pattern dominates the histology, the diagnosis of a neuro-endocrine carcinoma may occur. (Adapted from WHO.)
Olfactory Neurogenic Tumor	None	A rare, benign (olfactory neurocytoma) or malignant (olfactory neuroblastoma) neuroectodermal tumor originating from olfactory receptor cells in the nasal cavity.
